Dataset,Varijanta,Model,MAE,MAE_std,RMSE,RMSE_std
crop,original,MLPRegressor,8.220142483596343,0.0578638678869526,10.72991949961938,0.0743538295555978
crop,original,RandomForest,9.283420807957103,0.0428047982896601,11.90925386268896,0.0493345391096726
crop,original,XGBoost,8.493825857845192,0.0490542732789844,11.00569530893743,0.0579194114266737
crop,flip,MLPRegressor,8.223150602007077,0.0386821110739581,10.746154601704683,0.0650206335624095
crop,flip,RandomForest,9.315655569452131,0.0341524126943096,11.93218988941752,0.0413507155438303
crop,flip,XGBoost,8.511276708749099,0.0427568891837455,11.026956346186932,0.0494585106788142
crop,rotation,MLPRegressor,8.434044679468851,0.043556911268935,10.989608128360263,0.0556126181128799
crop,rotation,RandomForest,9.49584156774188,0.031344863072458,12.118988879683483,0.0359614239493372
crop,rotation,XGBoost,8.684104057880315,0.0373242252838169,11.227441014258003,0.0379730022470723
crop,brightness,MLPRegressor,8.517834128408554,0.0536092060470691,11.096970444142004,0.0502826098575859
crop,brightness,RandomForest,9.521831141990074,0.0327250500687672,12.166342874807,0.0411289355840953
crop,brightness,XGBoost,8.751510227489437,0.0337402447610491,11.308536247332908,0.0393342901176366
crop,combined,MLPRegressor,8.717340801252801,0.0447555158952649,11.328558905186208,0.0525528859068709
crop,combined,RandomForest,9.67983788197942,0.0386312475491116,12.34637384026909,0.048442486337255
crop,combined,XGBoost,8.935808830724339,0.0336093860717779,11.5283104112191,0.0411512338245132
clean,original,MLPRegressor,7.990743207931518,0.0416407264874219,10.233986243119334,0.0603934706615276
clean,original,RandomForest,8.809742175470268,0.0366397814672934,11.249276780083502,0.0462813615749145
clean,original,XGBoost,8.191735363006591,0.0278165234165439,10.48814605707803,0.04744143694705
clean,flip,MLPRegressor,7.991818523406982,0.0480573257374943,10.232070252941082,0.0677688530425884
clean,flip,RandomForest,8.826055155412785,0.0394494970600189,11.26942307924328,0.0523984792031668
clean,flip,XGBoost,8.197811031341553,0.031121825726652,10.496351518655684,0.0527664780808611
clean,rotation,MLPRegressor,8.21760311126709,0.046895295900809,10.519369160866953,0.074658378076073
clean,rotation,RandomForest,8.961601082146643,0.0422613851785924,11.440638394929035,0.0493255778758869
clean,rotation,XGBoost,8.369638061523437,0.0329316496476372,10.713139410864324,0.0537958539594236
clean,brightness,MLPRegressor,8.22788438796997,0.0158216605679221,10.537219742085522,0.0398780131015266
clean,brightness,RandomForest,8.968084641498523,0.0379798830862208,11.443179853163702,0.0466789341774066
clean,brightness,XGBoost,8.386742305755615,0.0346604780925786,10.732031528458156,0.0539710748122944
clean,combined,MLPRegressor,8.449450492858887,0.0367773528982079,10.825044112534044,0.0414174162142076
clean,combined,RandomForest,9.08680226138022,0.0418326694050944,11.598851073249524,0.0503390181418559
clean,combined,XGBoost,8.570734310150147,0.0441760522715432,10.962883524488907,0.0579065061166383
